2022-07-28 15:02:57,220 - INFO - running /home/hxcai/competitive_network/0721_train.py
2022-07-28 15:02:57,220 - INFO - parent pid = 113816, start task 2_4_fixA_exp_1
2022-07-28 15:02:57,222 - DEBUG - {'data_dir': 'data', 'figure_dir': 'figures', 'output_dir': 'results/1e-4_fixA', 'log_dir': 'logs', 'seed': 1, 'nA': 2, 'nB': 4, 'nY': 1, 'max_epochs': 2000, 'log_epochs': 100, 'tol': 0.0001, 'model': {'type': 'CompetitiveNetwork', 'args': {'reparam': 'exp', 'mode': 'fixA'}}, 'logger': {'version': 1, 'formatters': {'default': {'format': '%(asctime)s - %(levelname)s - %(message)s'}}, 'handlers': {'stream_handler': {'class': 'logging.StreamHandler', 'level': 'INFO', 'formatter': 'default', 'stream': 'ext://sys.stdout'}, 'file_handler': {'class': 'logging.handlers.RotatingFileHandler', 'level': 'DEBUG', 'formatter': 'default', 'filename': 'logs/20220728_150257_2_4_fixA_exp_1.log', 'maxBytes': 10485760, 'backupCount': 5, 'encoding': 'utf-8'}}, 'root': {'level': 'DEBUG', 'handlers': ['stream_handler', 'file_handler']}}, 'data_loader': {'type': 'DataLoader', 'args': {'batch_size': 9, 'shuffle': False}}, 'optimizer': {'type': 'SGD', 'args': {'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0}}, 'loss': {'type': 'MSELoss()'}}
2022-07-28 15:02:57,644 - INFO - child pid = 114536, start training
2022-07-28 15:02:57,652 - INFO - child pid = 114565, start training
2022-07-28 15:02:57,651 - INFO - child pid = 114537, start training
2022-07-28 15:02:57,654 - INFO - child pid = 114540, start training
2022-07-28 15:02:57,654 - INFO - child pid = 114539, start training
2022-07-28 15:02:57,655 - INFO - child pid = 114554, start training
2022-07-28 15:02:57,658 - INFO - child pid = 114559, start training
2022-07-28 15:02:57,656 - INFO - child pid = 114541, start training
2022-07-28 15:02:57,658 - INFO - child pid = 114542, start training
2022-07-28 15:02:57,659 - INFO - child pid = 114543, start training
2022-07-28 15:02:57,659 - INFO - child pid = 114561, start training
2022-07-28 15:02:57,660 - INFO - child pid = 114544, start training
2022-07-28 15:02:57,661 - INFO - child pid = 114545, start training
2022-07-28 15:02:57,661 - INFO - child pid = 114546, start training
2022-07-28 15:02:57,662 - INFO - child pid = 114538, start training
2022-07-28 15:02:57,661 - INFO - child pid = 114548, start training
2022-07-28 15:02:57,662 - INFO - child pid = 114549, start training
2022-07-28 15:02:57,663 - INFO - child pid = 114551, start training
2022-07-28 15:02:57,663 - INFO - child pid = 114550, start training
2022-07-28 15:02:57,664 - INFO - child pid = 114552, start training
2022-07-28 15:02:57,664 - INFO - child pid = 114553, start training
2022-07-28 15:02:57,666 - INFO - child pid = 114557, start training
2022-07-28 15:02:57,667 - INFO - child pid = 114558, start training
2022-07-28 15:02:57,665 - INFO - child pid = 114555, start training
2022-07-28 15:02:57,669 - INFO - child pid = 114560, start training
2022-07-28 15:02:57,669 - DEBUG - child pid = 114536, epoch = 0, loss = 0.02339377
2022-07-28 15:02:57,670 - INFO - child pid = 114563, start training
2022-07-28 15:02:57,670 - INFO - child pid = 114547, start training
2022-07-28 15:02:57,671 - INFO - child pid = 114556, start training
2022-07-28 15:02:57,671 - INFO - child pid = 114564, start training
2022-07-28 15:02:57,671 - INFO - child pid = 114562, start training
2022-07-28 15:02:57,679 - DEBUG - child pid = 114541, epoch = 0, loss = 0.57586616
2022-07-28 15:02:57,679 - DEBUG - child pid = 114554, epoch = 0, loss = 0.42340294
2022-07-28 15:02:57,683 - DEBUG - child pid = 114549, epoch = 0, loss = 0.41014966
2022-07-28 15:02:57,684 - DEBUG - child pid = 114565, epoch = 0, loss = 0.32948276
2022-07-28 15:02:57,684 - DEBUG - child pid = 114551, epoch = 0, loss = 0.24179107
2022-07-28 15:02:57,684 - DEBUG - child pid = 114561, epoch = 0, loss = 0.57224822
2022-07-28 15:02:57,707 - DEBUG - child pid = 114562, epoch = 0, loss = 1.30540609
2022-07-28 15:02:57,685 - DEBUG - child pid = 114553, epoch = 0, loss = 0.27884167
2022-07-28 15:02:57,685 - DEBUG - child pid = 114543, epoch = 0, loss = 0.45274252
2022-07-28 15:02:57,685 - DEBUG - child pid = 114537, epoch = 0, loss = 0.24696442
2022-07-28 15:02:57,693 - DEBUG - child pid = 114557, epoch = 0, loss = 0.65219688
2022-07-28 15:02:57,686 - DEBUG - child pid = 114540, epoch = 0, loss = 0.21387123
2022-07-28 15:02:57,684 - DEBUG - child pid = 114552, epoch = 0, loss = 0.23917601
2022-07-28 15:02:57,684 - DEBUG - child pid = 114546, epoch = 0, loss = 0.40146938
2022-07-28 15:02:57,685 - DEBUG - child pid = 114538, epoch = 0, loss = 0.19678798
2022-07-28 15:02:57,712 - DEBUG - child pid = 114564, epoch = 0, loss = 0.14247283
2022-07-28 15:02:57,686 - DEBUG - child pid = 114548, epoch = 0, loss = 0.32967219
2022-07-28 15:02:57,686 - DEBUG - child pid = 114539, epoch = 0, loss = 0.28065431
2022-07-28 15:02:57,692 - DEBUG - child pid = 114555, epoch = 0, loss = 0.40851605
2022-07-28 15:02:57,710 - DEBUG - child pid = 114563, epoch = 0, loss = 0.29757357
2022-07-28 15:02:57,693 - DEBUG - child pid = 114558, epoch = 0, loss = 0.26448575
2022-07-28 15:02:57,711 - DEBUG - child pid = 114556, epoch = 0, loss = 0.55745190
2022-07-28 15:02:57,709 - DEBUG - child pid = 114560, epoch = 0, loss = 1.07409847
2022-07-28 15:02:57,710 - DEBUG - child pid = 114547, epoch = 0, loss = 0.58980030
2022-07-28 15:02:57,684 - DEBUG - child pid = 114545, epoch = 0, loss = 0.22929130
2022-07-28 15:02:57,693 - DEBUG - child pid = 114550, epoch = 0, loss = 0.16507459
2022-07-28 15:02:57,684 - DEBUG - child pid = 114559, epoch = 0, loss = 1.09497464
2022-07-28 15:02:57,684 - DEBUG - child pid = 114544, epoch = 0, loss = 0.55572045
2022-07-28 15:02:57,695 - DEBUG - child pid = 114542, epoch = 0, loss = 0.48214531
2022-07-28 15:02:57,917 - DEBUG - child pid = 114549, epoch = 100, loss = 0.06440820
2022-07-28 15:02:57,919 - DEBUG - child pid = 114541, epoch = 100, loss = 0.09695901
2022-07-28 15:02:57,921 - DEBUG - child pid = 114554, epoch = 100, loss = 0.13500033
2022-07-28 15:02:57,922 - DEBUG - child pid = 114536, epoch = 100, loss = 0.00002254
2022-07-28 15:02:57,935 - DEBUG - child pid = 114565, epoch = 100, loss = 0.08232592
