2022-07-28 15:06:05,639 - INFO - running /home/hxcai/competitive_network/0721_train.py
2022-07-28 15:06:05,639 - INFO - parent pid = 113816, start task 2_5_fixA_exp_1
2022-07-28 15:06:05,641 - DEBUG - {'data_dir': 'data', 'figure_dir': 'figures', 'output_dir': 'results/1e-4_fixA', 'log_dir': 'logs', 'seed': 1, 'nA': 2, 'nB': 5, 'nY': 1, 'max_epochs': 2000, 'log_epochs': 100, 'tol': 0.0001, 'model': {'type': 'CompetitiveNetwork', 'args': {'reparam': 'exp', 'mode': 'fixA'}}, 'logger': {'version': 1, 'formatters': {'default': {'format': '%(asctime)s - %(levelname)s - %(message)s'}}, 'handlers': {'stream_handler': {'class': 'logging.StreamHandler', 'level': 'INFO', 'formatter': 'default', 'stream': 'ext://sys.stdout'}, 'file_handler': {'class': 'logging.handlers.RotatingFileHandler', 'level': 'DEBUG', 'formatter': 'default', 'filename': 'logs/20220728_150605_2_5_fixA_exp_1.log', 'maxBytes': 10485760, 'backupCount': 5, 'encoding': 'utf-8'}}, 'root': {'level': 'DEBUG', 'handlers': ['stream_handler', 'file_handler']}}, 'data_loader': {'type': 'DataLoader', 'args': {'batch_size': 9, 'shuffle': False}}, 'optimizer': {'type': 'SGD', 'args': {'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0}}, 'loss': {'type': 'MSELoss()'}}
2022-07-28 15:06:06,081 - INFO - child pid = 495, start training
2022-07-28 15:06:06,084 - INFO - child pid = 496, start training
2022-07-28 15:06:06,086 - INFO - child pid = 513, start training
2022-07-28 15:06:06,087 - INFO - child pid = 516, start training
2022-07-28 15:06:06,086 - INFO - child pid = 514, start training
2022-07-28 15:06:06,087 - INFO - child pid = 498, start training
2022-07-28 15:06:06,090 - INFO - child pid = 501, start training
2022-07-28 15:06:06,089 - INFO - child pid = 521, start training
2022-07-28 15:06:06,088 - INFO - child pid = 499, start training
2022-07-28 15:06:06,089 - INFO - child pid = 520, start training
2022-07-28 15:06:06,091 - INFO - child pid = 503, start training
2022-07-28 15:06:06,090 - INFO - child pid = 502, start training
2022-07-28 15:06:06,091 - INFO - child pid = 505, start training
2022-07-28 15:06:06,091 - INFO - child pid = 504, start training
2022-07-28 15:06:06,092 - INFO - child pid = 506, start training
2022-07-28 15:06:06,092 - INFO - child pid = 507, start training
2022-07-28 15:06:06,093 - INFO - child pid = 508, start training
2022-07-28 15:06:06,094 - INFO - child pid = 512, start training
2022-07-28 15:06:06,094 - INFO - child pid = 511, start training
2022-07-28 15:06:06,095 - INFO - child pid = 497, start training
2022-07-28 15:06:06,097 - INFO - child pid = 500, start training
2022-07-28 15:06:06,099 - INFO - child pid = 517, start training
2022-07-28 15:06:06,097 - INFO - child pid = 518, start training
2022-07-28 15:06:06,096 - INFO - child pid = 515, start training
2022-07-28 15:06:06,093 - INFO - child pid = 509, start training
2022-07-28 15:06:06,093 - INFO - child pid = 510, start training
2022-07-28 15:06:06,102 - DEBUG - child pid = 495, epoch = 0, loss = 0.07670370
2022-07-28 15:06:06,098 - INFO - child pid = 524, start training
2022-07-28 15:06:06,098 - INFO - child pid = 522, start training
2022-07-28 15:06:06,106 - DEBUG - child pid = 516, epoch = 0, loss = 0.66490096
2022-07-28 15:06:06,108 - DEBUG - child pid = 520, epoch = 0, loss = 0.59187722
2022-07-28 15:06:06,110 - DEBUG - child pid = 505, epoch = 0, loss = 0.48867989
2022-07-28 15:06:06,106 - DEBUG - child pid = 513, epoch = 0, loss = 0.24825740
2022-07-28 15:06:06,110 - DEBUG - child pid = 504, epoch = 0, loss = 0.17280722
2022-07-28 15:06:06,103 - DEBUG - child pid = 496, epoch = 0, loss = 0.28538239
2022-07-28 15:06:06,100 - INFO - child pid = 523, start training
2022-07-28 15:06:06,100 - INFO - child pid = 519, start training
2022-07-28 15:06:06,110 - DEBUG - child pid = 502, epoch = 0, loss = 0.25534651
2022-07-28 15:06:06,130 - DEBUG - child pid = 522, epoch = 0, loss = 0.42751125
2022-07-28 15:06:06,109 - DEBUG - child pid = 501, epoch = 0, loss = 0.06045559
2022-07-28 15:06:06,108 - DEBUG - child pid = 514, epoch = 0, loss = 0.56033641
2022-07-28 15:06:06,107 - DEBUG - child pid = 521, epoch = 0, loss = 1.28493226
2022-07-28 15:06:06,111 - DEBUG - child pid = 507, epoch = 0, loss = 0.53712815
2022-07-28 15:06:06,110 - DEBUG - child pid = 503, epoch = 0, loss = 0.21622890
2022-07-28 15:06:06,108 - DEBUG - child pid = 499, epoch = 0, loss = 0.11366262
2022-07-28 15:06:06,113 - DEBUG - child pid = 508, epoch = 0, loss = 0.27498522
2022-07-28 15:06:06,111 - DEBUG - child pid = 506, epoch = 0, loss = 0.40787974
2022-07-28 15:06:06,107 - DEBUG - child pid = 498, epoch = 0, loss = 0.20529687
2022-07-28 15:06:06,114 - DEBUG - child pid = 511, epoch = 0, loss = 0.26472557
2022-07-28 15:06:06,118 - DEBUG - child pid = 509, epoch = 0, loss = 0.14257614
2022-07-28 15:06:06,116 - DEBUG - child pid = 512, epoch = 0, loss = 0.44607300
2022-07-28 15:06:06,119 - DEBUG - child pid = 497, epoch = 0, loss = 0.20928346
2022-07-28 15:06:06,122 - DEBUG - child pid = 515, epoch = 0, loss = 0.30257919
2022-07-28 15:06:06,121 - DEBUG - child pid = 517, epoch = 0, loss = 0.20858467
2022-07-28 15:06:06,120 - DEBUG - child pid = 500, epoch = 0, loss = 0.17089218
2022-07-28 15:06:06,121 - DEBUG - child pid = 518, epoch = 0, loss = 0.19132154
2022-07-28 15:06:06,126 - DEBUG - child pid = 510, epoch = 0, loss = 0.29360107
2022-07-28 15:06:06,129 - DEBUG - child pid = 524, epoch = 0, loss = 0.42566326
2022-07-28 15:06:06,151 - DEBUG - child pid = 523, epoch = 0, loss = 0.17554484
2022-07-28 15:06:06,153 - DEBUG - child pid = 519, epoch = 0, loss = 0.31651393
2022-07-28 15:06:06,351 - DEBUG - child pid = 495, epoch = 100, loss = 0.00001268
2022-07-28 15:06:06,354 - DEBUG - child pid = 516, epoch = 100, loss = 0.04621973
2022-07-28 15:06:06,371 - DEBUG - child pid = 522, epoch = 100, loss = 0.06839737
2022-07-28 15:06:06,373 - DEBUG - child pid = 510, epoch = 100, loss = 0.04161286
2022-07-28 15:06:06,374 - DEBUG - child pid = 509, epoch = 100, loss = 0.08313254
2022-07-28 15:06:06,374 - DEBUG - child pid = 511, epoch = 100, loss = 0.10775723
2022-07-28 15:06:06,376 - DEBUG - child pid = 505, epoch = 100, loss = 0.11602166
2022-07-28 15:06:06,377 - DEBUG - child pid = 513, epoch = 100, loss = 0.12497238
