2022-07-28 15:09:08,487 - INFO - running /home/hxcai/competitive_network/0721_train.py
2022-07-28 15:09:08,487 - INFO - parent pid = 113816, start task 2_6_fixA_exp_1
2022-07-28 15:09:08,510 - DEBUG - {'data_dir': 'data', 'figure_dir': 'figures', 'output_dir': 'results/1e-4_fixA', 'log_dir': 'logs', 'seed': 1, 'nA': 2, 'nB': 6, 'nY': 1, 'max_epochs': 2000, 'log_epochs': 100, 'tol': 0.0001, 'model': {'type': 'CompetitiveNetwork', 'args': {'reparam': 'exp', 'mode': 'fixA'}}, 'logger': {'version': 1, 'formatters': {'default': {'format': '%(asctime)s - %(levelname)s - %(message)s'}}, 'handlers': {'stream_handler': {'class': 'logging.StreamHandler', 'level': 'INFO', 'formatter': 'default', 'stream': 'ext://sys.stdout'}, 'file_handler': {'class': 'logging.handlers.RotatingFileHandler', 'level': 'DEBUG', 'formatter': 'default', 'filename': 'logs/20220728_150908_2_6_fixA_exp_1.log', 'maxBytes': 10485760, 'backupCount': 5, 'encoding': 'utf-8'}}, 'root': {'level': 'DEBUG', 'handlers': ['stream_handler', 'file_handler']}}, 'data_loader': {'type': 'DataLoader', 'args': {'batch_size': 9, 'shuffle': False}}, 'optimizer': {'type': 'SGD', 'args': {'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0}}, 'loss': {'type': 'MSELoss()'}}
2022-07-28 15:09:08,985 - INFO - child pid = 877, start training
2022-07-28 15:09:08,987 - INFO - child pid = 883, start training
2022-07-28 15:09:08,987 - INFO - child pid = 884, start training
2022-07-28 15:09:08,990 - INFO - child pid = 879, start training
2022-07-28 15:09:08,992 - INFO - child pid = 880, start training
2022-07-28 15:09:08,992 - INFO - child pid = 898, start training
2022-07-28 15:09:08,994 - INFO - child pid = 881, start training
2022-07-28 15:09:08,997 - INFO - child pid = 910, start training
2022-07-28 15:09:08,997 - INFO - child pid = 885, start training
2022-07-28 15:09:08,996 - INFO - child pid = 909, start training
2022-07-28 15:09:08,996 - INFO - child pid = 882, start training
2022-07-28 15:09:08,998 - INFO - child pid = 889, start training
2022-07-28 15:09:08,998 - INFO - child pid = 886, start training
2022-07-28 15:09:08,999 - INFO - child pid = 890, start training
2022-07-28 15:09:09,000 - INFO - child pid = 894, start training
2022-07-28 15:09:08,999 - INFO - child pid = 892, start training
2022-07-28 15:09:08,999 - INFO - child pid = 891, start training
2022-07-28 15:09:09,001 - INFO - child pid = 895, start training
2022-07-28 15:09:09,001 - INFO - child pid = 896, start training
2022-07-28 15:09:09,003 - INFO - child pid = 902, start training
2022-07-28 15:09:09,002 - INFO - child pid = 901, start training
2022-07-28 15:09:09,001 - INFO - child pid = 897, start training
2022-07-28 15:09:09,003 - INFO - child pid = 904, start training
2022-07-28 15:09:09,004 - INFO - child pid = 906, start training
2022-07-28 15:09:09,005 - DEBUG - child pid = 883, epoch = 0, loss = 0.26689252
2022-07-28 15:09:09,005 - INFO - child pid = 907, start training
2022-07-28 15:09:09,003 - INFO - child pid = 905, start training
2022-07-28 15:09:09,006 - INFO - child pid = 878, start training
2022-07-28 15:09:09,005 - INFO - child pid = 908, start training
2022-07-28 15:09:09,006 - DEBUG - child pid = 884, epoch = 0, loss = 0.75310129
2022-07-28 15:09:09,006 - INFO - child pid = 903, start training
2022-07-28 15:09:09,007 - INFO - child pid = 887, start training
2022-07-28 15:09:09,010 - DEBUG - child pid = 898, epoch = 0, loss = 0.31078988
2022-07-28 15:09:09,009 - DEBUG - child pid = 879, epoch = 0, loss = 0.22373761
2022-07-28 15:09:09,007 - DEBUG - child pid = 877, epoch = 0, loss = 0.01154588
2022-07-28 15:09:09,009 - DEBUG - child pid = 880, epoch = 0, loss = 0.19737287
2022-07-28 15:09:09,013 - DEBUG - child pid = 881, epoch = 0, loss = 0.16425969
2022-07-28 15:09:09,012 - DEBUG - child pid = 889, epoch = 0, loss = 0.58054417
2022-07-28 15:09:09,014 - DEBUG - child pid = 885, epoch = 0, loss = 0.32873026
2022-07-28 15:09:09,015 - DEBUG - child pid = 886, epoch = 0, loss = 0.33506817
2022-07-28 15:09:09,016 - DEBUG - child pid = 890, epoch = 0, loss = 0.18974784
2022-07-28 15:09:09,016 - DEBUG - child pid = 909, epoch = 0, loss = 0.18228634
2022-07-28 15:09:09,018 - DEBUG - child pid = 896, epoch = 0, loss = 0.35625559
2022-07-28 15:09:09,018 - DEBUG - child pid = 894, epoch = 0, loss = 0.18237683
2022-07-28 15:09:09,017 - DEBUG - child pid = 882, epoch = 0, loss = 0.15831296
2022-07-28 15:09:09,017 - DEBUG - child pid = 910, epoch = 0, loss = 0.22626716
2022-07-28 15:09:09,019 - DEBUG - child pid = 891, epoch = 0, loss = 0.30064008
2022-07-28 15:09:09,019 - DEBUG - child pid = 892, epoch = 0, loss = 0.11718345
2022-07-28 15:09:09,020 - DEBUG - child pid = 902, epoch = 0, loss = 0.47101080
2022-07-28 15:09:09,020 - DEBUG - child pid = 897, epoch = 0, loss = 0.15676355
2022-07-28 15:09:09,019 - DEBUG - child pid = 895, epoch = 0, loss = 0.48768494
2022-07-28 15:09:09,023 - DEBUG - child pid = 908, epoch = 0, loss = 1.48669028
2022-07-28 15:09:09,022 - DEBUG - child pid = 878, epoch = 0, loss = 0.11220900
2022-07-28 15:09:09,020 - DEBUG - child pid = 904, epoch = 0, loss = 0.43363491
2022-07-28 15:09:09,026 - DEBUG - child pid = 887, epoch = 0, loss = 0.40765139
2022-07-28 15:09:09,025 - DEBUG - child pid = 907, epoch = 0, loss = 0.46814966
