2022-07-28 15:14:24,437 - INFO - running /home/hxcai/competitive_network/0721_train.py
2022-07-28 15:14:24,437 - INFO - parent pid = 113816, start task 2_7_fixA_square_2
2022-07-28 15:14:24,439 - DEBUG - {'data_dir': 'data', 'figure_dir': 'figures', 'output_dir': 'results/1e-4_fixA', 'log_dir': 'logs', 'seed': 2, 'nA': 2, 'nB': 7, 'nY': 1, 'max_epochs': 2000, 'log_epochs': 100, 'tol': 0.0001, 'model': {'type': 'CompetitiveNetwork', 'args': {'reparam': 'square', 'mode': 'fixA'}}, 'logger': {'version': 1, 'formatters': {'default': {'format': '%(asctime)s - %(levelname)s - %(message)s'}}, 'handlers': {'stream_handler': {'class': 'logging.StreamHandler', 'level': 'INFO', 'formatter': 'default', 'stream': 'ext://sys.stdout'}, 'file_handler': {'class': 'logging.handlers.RotatingFileHandler', 'level': 'DEBUG', 'formatter': 'default', 'filename': 'logs/20220728_151424_2_7_fixA_square_2.log', 'maxBytes': 10485760, 'backupCount': 5, 'encoding': 'utf-8'}}, 'root': {'level': 'DEBUG', 'handlers': ['stream_handler', 'file_handler']}}, 'data_loader': {'type': 'DataLoader', 'args': {'batch_size': 9, 'shuffle': False}}, 'optimizer': {'type': 'SGD', 'args': {'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0}}, 'loss': {'type': 'MSELoss()'}}
2022-07-28 15:14:24,882 - INFO - child pid = 1534, start training
2022-07-28 15:14:24,883 - INFO - child pid = 1544, start training
2022-07-28 15:14:24,884 - INFO - child pid = 1535, start training
2022-07-28 15:14:24,885 - INFO - child pid = 1549, start training
2022-07-28 15:14:24,887 - INFO - child pid = 1538, start training
2022-07-28 15:14:24,886 - INFO - child pid = 1550, start training
2022-07-28 15:14:24,888 - INFO - child pid = 1539, start training
2022-07-28 15:14:24,889 - INFO - child pid = 1540, start training
2022-07-28 15:14:24,890 - INFO - child pid = 1533, start training
2022-07-28 15:14:24,890 - INFO - child pid = 1541, start training
2022-07-28 15:14:24,891 - INFO - child pid = 1559, start training
2022-07-28 15:14:24,893 - INFO - child pid = 1545, start training
2022-07-28 15:14:24,893 - INFO - child pid = 1546, start training
2022-07-28 15:14:24,894 - INFO - child pid = 1548, start training
2022-07-28 15:14:24,897 - INFO - child pid = 1557, start training
2022-07-28 15:14:24,897 - INFO - child pid = 1556, start training
2022-07-28 15:14:24,891 - INFO - child pid = 1542, start training
2022-07-28 15:14:24,894 - INFO - child pid = 1536, start training
2022-07-28 15:14:24,895 - INFO - child pid = 1551, start training
2022-07-28 15:14:24,894 - INFO - child pid = 1537, start training
2022-07-28 15:14:24,896 - INFO - child pid = 1554, start training
2022-07-28 15:14:24,892 - INFO - child pid = 1561, start training
2022-07-28 15:14:24,896 - INFO - child pid = 1553, start training
2022-07-28 15:14:24,898 - INFO - child pid = 1543, start training
2022-07-28 15:14:24,898 - INFO - child pid = 1560, start training
2022-07-28 15:14:24,896 - INFO - child pid = 1555, start training
2022-07-28 15:14:24,906 - DEBUG - child pid = 1538, epoch = 0, loss = 0.55461144
2022-07-28 15:14:24,907 - DEBUG - child pid = 1550, epoch = 0, loss = 0.41116431
2022-07-28 15:14:24,895 - INFO - child pid = 1552, start training
2022-07-28 15:14:24,897 - INFO - child pid = 1558, start training
2022-07-28 15:14:24,917 - DEBUG - child pid = 1545, epoch = 0, loss = 0.50917727
2022-07-28 15:14:24,916 - DEBUG - child pid = 1546, epoch = 0, loss = 0.87760234
2022-07-28 15:14:24,913 - DEBUG - child pid = 1559, epoch = 0, loss = 0.89768153
2022-07-28 15:14:24,904 - DEBUG - child pid = 1544, epoch = 0, loss = 0.22529247
2022-07-28 15:14:24,941 - DEBUG - child pid = 1555, epoch = 0, loss = 0.68584514
2022-07-28 15:14:24,920 - DEBUG - child pid = 1548, epoch = 0, loss = 0.21461242
2022-07-28 15:14:24,900 - INFO - child pid = 1562, start training
2022-07-28 15:14:24,919 - DEBUG - child pid = 1556, epoch = 0, loss = 0.77062047
2022-07-28 15:14:24,904 - DEBUG - child pid = 1534, epoch = 0, loss = 0.17584723
2022-07-28 15:14:24,921 - DEBUG - child pid = 1542, epoch = 0, loss = 0.48134035
2022-07-28 15:14:24,905 - DEBUG - child pid = 1535, epoch = 0, loss = 0.11593893
2022-07-28 15:14:24,908 - DEBUG - child pid = 1539, epoch = 0, loss = 0.59435993
2022-07-28 15:14:24,905 - DEBUG - child pid = 1549, epoch = 0, loss = 0.36592355
2022-07-28 15:14:24,911 - DEBUG - child pid = 1540, epoch = 0, loss = 0.32852447
2022-07-28 15:14:24,909 - DEBUG - child pid = 1533, epoch = 0, loss = 0.01623254
2022-07-28 15:14:24,899 - INFO - child pid = 1547, start training
2022-07-28 15:14:24,914 - DEBUG - child pid = 1541, epoch = 0, loss = 0.18029992
2022-07-28 15:14:24,927 - DEBUG - child pid = 1553, epoch = 0, loss = 0.85631168
2022-07-28 15:14:24,928 - DEBUG - child pid = 1536, epoch = 0, loss = 0.20750298
2022-07-28 15:14:24,922 - DEBUG - child pid = 1557, epoch = 0, loss = 0.33044055
2022-07-28 15:14:24,931 - DEBUG - child pid = 1554, epoch = 0, loss = 0.14563425
2022-07-28 15:14:24,931 - DEBUG - child pid = 1551, epoch = 0, loss = 0.16684553
2022-07-28 15:14:24,933 - DEBUG - child pid = 1537, epoch = 0, loss = 0.19314304
2022-07-28 15:14:24,939 - DEBUG - child pid = 1543, epoch = 0, loss = 0.47450182
2022-07-28 15:14:24,940 - DEBUG - child pid = 1560, epoch = 0, loss = 1.18542242
2022-07-28 15:14:24,931 - DEBUG - child pid = 1561, epoch = 0, loss = 0.10638779
2022-07-28 15:14:24,970 - DEBUG - child pid = 1552, epoch = 0, loss = 0.43644911
2022-07-28 15:14:24,974 - DEBUG - child pid = 1558, epoch = 0, loss = 0.41037533
2022-07-28 15:14:24,973 - DEBUG - child pid = 1547, epoch = 0, loss = 0.15788579
