2022-07-28 15:55:19,985 - INFO - running /home/hxcai/competitive_network/0721_train.py
2022-07-28 15:55:19,985 - INFO - parent pid = 67610, start task 2_8_fixA_exp_1
2022-07-28 15:55:19,986 - DEBUG - {'data_dir': 'data', 'figure_dir': 'figures', 'output_dir': 'results/tol_1e-4_fixA', 'log_dir': 'logs', 'seed': 1, 'nA': 2, 'nB': 8, 'nY': 1, 'max_epochs': 2000, 'log_epochs': 100, 'tol': 0.0001, 'model': {'type': 'CompetitiveNetwork', 'args': {'reparam': 'exp', 'mode': 'fixA'}}, 'logger': {'version': 1, 'formatters': {'default': {'format': '%(asctime)s - %(levelname)s - %(message)s'}}, 'handlers': {'stream_handler': {'class': 'logging.StreamHandler', 'level': 'INFO', 'formatter': 'default', 'stream': 'ext://sys.stdout'}, 'file_handler': {'class': 'logging.handlers.RotatingFileHandler', 'level': 'DEBUG', 'formatter': 'default', 'filename': 'logs/20220728_155519_2_8_fixA_exp_1.log', 'maxBytes': 10485760, 'backupCount': 5, 'encoding': 'utf-8'}}, 'root': {'level': 'DEBUG', 'handlers': ['stream_handler', 'file_handler']}}, 'data_loader': {'type': 'DataLoader', 'args': {'batch_size': 9, 'shuffle': False}}, 'optimizer': {'type': 'SGD', 'args': {'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0}}, 'loss': {'type': 'MSELoss()'}}
2022-07-28 15:55:20,422 - INFO - child pid = 67873, start training
2022-07-28 15:55:20,427 - INFO - child pid = 67884, start training
2022-07-28 15:55:20,426 - INFO - child pid = 67874, start training
2022-07-28 15:55:20,428 - INFO - child pid = 67875, start training
2022-07-28 15:55:20,429 - INFO - child pid = 67888, start training
2022-07-28 15:55:20,430 - INFO - child pid = 67892, start training
2022-07-28 15:55:20,430 - INFO - child pid = 67876, start training
2022-07-28 15:55:20,431 - INFO - child pid = 67877, start training
2022-07-28 15:55:20,433 - INFO - child pid = 67898, start training
2022-07-28 15:55:20,434 - INFO - child pid = 67879, start training
2022-07-28 15:55:20,435 - INFO - child pid = 67881, start training
2022-07-28 15:55:20,434 - INFO - child pid = 67899, start training
2022-07-28 15:55:20,435 - INFO - child pid = 67880, start training
2022-07-28 15:55:20,438 - INFO - child pid = 67890, start training
2022-07-28 15:55:20,436 - INFO - child pid = 67883, start training
2022-07-28 15:55:20,435 - INFO - child pid = 67882, start training
2022-07-28 15:55:20,436 - INFO - child pid = 67885, start training
2022-07-28 15:55:20,437 - INFO - child pid = 67886, start training
2022-07-28 15:55:20,440 - INFO - child pid = 67896, start training
2022-07-28 15:55:20,439 - INFO - child pid = 67893, start training
2022-07-28 15:55:20,437 - INFO - child pid = 67889, start training
2022-07-28 15:55:20,442 - INFO - child pid = 67897, start training
2022-07-28 15:55:20,445 - INFO - child pid = 67900, start training
2022-07-28 15:55:20,444 - INFO - child pid = 67878, start training
2022-07-28 15:55:20,446 - DEBUG - child pid = 67873, epoch = 0, loss = 0.15674824
2022-07-28 15:55:20,446 - DEBUG - child pid = 67874, epoch = 0, loss = 0.24339066
2022-07-28 15:55:20,444 - DEBUG - child pid = 67884, epoch = 0, loss = 0.28584602
2022-07-28 15:55:20,439 - INFO - child pid = 67894, start training
2022-07-28 15:55:20,458 - DEBUG - child pid = 67882, epoch = 0, loss = 0.38383281
2022-07-28 15:55:20,446 - INFO - child pid = 67901, start training
2022-07-28 15:55:20,447 - INFO - child pid = 67887, start training
2022-07-28 15:55:20,448 - INFO - child pid = 67895, start training
2022-07-28 15:55:20,449 - DEBUG - child pid = 67876, epoch = 0, loss = 0.17622472
2022-07-28 15:55:20,448 - INFO - child pid = 67902, start training
2022-07-28 15:55:20,447 - INFO - child pid = 67891, start training
2022-07-28 15:55:20,449 - DEBUG - child pid = 67881, epoch = 0, loss = 0.26816767
2022-07-28 15:55:20,448 - DEBUG - child pid = 67875, epoch = 0, loss = 0.26050884
2022-07-28 15:55:20,448 - DEBUG - child pid = 67892, epoch = 0, loss = 0.26358002
2022-07-28 15:55:20,452 - DEBUG - child pid = 67899, epoch = 0, loss = 0.41344586
2022-07-28 15:55:20,449 - DEBUG - child pid = 67888, epoch = 0, loss = 0.52356517
2022-07-28 15:55:20,450 - DEBUG - child pid = 67898, epoch = 0, loss = 0.57444417
2022-07-28 15:55:20,453 - DEBUG - child pid = 67886, epoch = 0, loss = 1.37037385
2022-07-28 15:55:20,450 - DEBUG - child pid = 67877, epoch = 0, loss = 0.18430984
2022-07-28 15:55:20,452 - DEBUG - child pid = 67890, epoch = 0, loss = 0.30416074
2022-07-28 15:55:20,455 - DEBUG - child pid = 67883, epoch = 0, loss = 0.20549184
2022-07-28 15:55:20,456 - DEBUG - child pid = 67896, epoch = 0, loss = 0.27129698
2022-07-28 15:55:20,454 - DEBUG - child pid = 67880, epoch = 0, loss = 0.46151215
2022-07-28 15:55:20,455 - DEBUG - child pid = 67879, epoch = 0, loss = 0.39414686
2022-07-28 15:55:20,456 - DEBUG - child pid = 67889, epoch = 0, loss = 0.42592841
2022-07-28 15:55:20,458 - DEBUG - child pid = 67893, epoch = 0, loss = 0.67067480
2022-07-28 15:55:20,455 - DEBUG - child pid = 67885, epoch = 0, loss = 0.80045199
2022-07-28 15:55:20,457 - DEBUG - child pid = 67897, epoch = 0, loss = 0.50181890
2022-07-28 15:55:20,486 - DEBUG - child pid = 67902, epoch = 0, loss = 0.29268989
2022-07-28 15:55:20,487 - DEBUG - child pid = 67895, epoch = 0, loss = 0.22003400
2022-07-28 15:55:20,488 - DEBUG - child pid = 67878, epoch = 0, loss = 0.25073639
2022-07-28 15:55:20,488 - DEBUG - child pid = 67894, epoch = 0, loss = 0.20237295
