2022-07-29 14:36:02,707 - INFO - running /home/hxcai/competitive_network/0721_train.py
2022-07-29 14:36:02,707 - INFO - parent pid = 59975, start task 2_8_fixA_exp_2
2022-07-29 14:36:02,709 - DEBUG - {'data_dir': 'data', 'figure_dir': 'figures', 'output_dir': 'results/temp', 'log_dir': 'logs', 'seed': 2, 'nA': 2, 'nB': 8, 'nY': 1, 'max_epochs': 2000, 'log_epochs': 100, 'tol': 0.0001, 'model': {'type': 'CompetitiveNetwork', 'args': {'reparam': 'exp', 'mode': 'fixA'}}, 'logger': {'version': 1, 'formatters': {'default': {'format': '%(asctime)s - %(levelname)s - %(message)s'}}, 'handlers': {'stream_handler': {'class': 'logging.StreamHandler', 'level': 'INFO', 'formatter': 'default', 'stream': 'ext://sys.stdout'}, 'file_handler': {'class': 'logging.handlers.RotatingFileHandler', 'level': 'DEBUG', 'formatter': 'default', 'filename': 'logs/20220729_143602_2_8_fixA_exp_2.log', 'maxBytes': 10485760, 'backupCount': 5, 'encoding': 'utf-8'}}, 'root': {'level': 'DEBUG', 'handlers': ['stream_handler', 'file_handler']}}, 'data_loader': {'type': 'DataLoader', 'args': {'batch_size': 9, 'shuffle': False}}, 'optimizer': {'type': 'SGD', 'args': {'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0}}, 'loss': {'type': 'MSELoss()'}}
2022-07-29 14:36:03,123 - INFO - child pid = 60999, start training
2022-07-29 14:36:03,127 - INFO - child pid = 61009, start training
2022-07-29 14:36:03,126 - INFO - child pid = 61000, start training
2022-07-29 14:36:03,131 - INFO - child pid = 61002, start training
2022-07-29 14:36:03,131 - INFO - child pid = 61001, start training
2022-07-29 14:36:03,130 - INFO - child pid = 61015, start training
2022-07-29 14:36:03,132 - INFO - child pid = 61003, start training
2022-07-29 14:36:03,133 - INFO - child pid = 61004, start training
2022-07-29 14:36:03,135 - INFO - child pid = 61006, start training
2022-07-29 14:36:03,135 - INFO - child pid = 61007, start training
2022-07-29 14:36:03,134 - INFO - child pid = 61005, start training
2022-07-29 14:36:03,136 - INFO - child pid = 61008, start training
2022-07-29 14:36:03,137 - INFO - child pid = 61011, start training
2022-07-29 14:36:03,137 - INFO - child pid = 61010, start training
2022-07-29 14:36:03,139 - INFO - child pid = 61014, start training
2022-07-29 14:36:03,138 - INFO - child pid = 61013, start training
2022-07-29 14:36:03,139 - INFO - child pid = 61016, start training
2022-07-29 14:36:03,139 - INFO - child pid = 61017, start training
2022-07-29 14:36:03,140 - INFO - child pid = 61018, start training
2022-07-29 14:36:03,142 - INFO - child pid = 61022, start training
2022-07-29 14:36:03,144 - INFO - child pid = 61027, start training
2022-07-29 14:36:03,142 - INFO - child pid = 61025, start training
2022-07-29 14:36:03,140 - INFO - child pid = 61020, start training
2022-07-29 14:36:03,141 - INFO - child pid = 61021, start training
2022-07-29 14:36:03,148 - DEBUG - child pid = 61000, epoch = 0, loss = 0.19080839
2022-07-29 14:36:03,146 - INFO - child pid = 61019, start training
2022-07-29 14:36:03,147 - DEBUG - child pid = 60999, epoch = 0, loss = 0.17422730
2022-07-29 14:36:03,143 - INFO - child pid = 61023, start training
2022-07-29 14:36:03,144 - INFO - child pid = 61026, start training
2022-07-29 14:36:03,143 - INFO - child pid = 61024, start training
2022-07-29 14:36:03,147 - DEBUG - child pid = 61009, epoch = 0, loss = 0.47755682
2022-07-29 14:36:03,145 - INFO - child pid = 61028, start training
2022-07-29 14:36:03,145 - INFO - child pid = 61012, start training
2022-07-29 14:36:03,153 - DEBUG - child pid = 61002, epoch = 0, loss = 0.35045642
2022-07-29 14:36:03,153 - DEBUG - child pid = 61015, epoch = 0, loss = 0.15587232
2022-07-29 14:36:03,162 - DEBUG - child pid = 61016, epoch = 0, loss = 0.72191709
2022-07-29 14:36:03,163 - DEBUG - child pid = 61022, epoch = 0, loss = 0.64782017
2022-07-29 14:36:03,163 - DEBUG - child pid = 61008, epoch = 0, loss = 0.18002015
2022-07-29 14:36:03,163 - DEBUG - child pid = 61013, epoch = 0, loss = 0.25589791
2022-07-29 14:36:03,164 - DEBUG - child pid = 61011, epoch = 0, loss = 0.22947280
2022-07-29 14:36:03,164 - DEBUG - child pid = 61004, epoch = 0, loss = 0.37918302
2022-07-29 14:36:03,164 - DEBUG - child pid = 61007, epoch = 0, loss = 0.32529491
2022-07-29 14:36:03,165 - DEBUG - child pid = 61003, epoch = 0, loss = 0.10907353
2022-07-29 14:36:03,166 - DEBUG - child pid = 61001, epoch = 0, loss = 0.16589850
2022-07-29 14:36:03,166 - DEBUG - child pid = 61006, epoch = 0, loss = 0.76671249
2022-07-29 14:36:03,168 - DEBUG - child pid = 61018, epoch = 0, loss = 0.70978540
2022-07-29 14:36:03,166 - DEBUG - child pid = 61014, epoch = 0, loss = 0.23161694
2022-07-29 14:36:03,182 - DEBUG - child pid = 61028, epoch = 0, loss = 0.52808100
2022-07-29 14:36:03,183 - DEBUG - child pid = 61023, epoch = 0, loss = 0.45496035
2022-07-29 14:36:03,182 - DEBUG - child pid = 61019, epoch = 0, loss = 0.48005635
2022-07-29 14:36:03,166 - DEBUG - child pid = 61017, epoch = 0, loss = 0.17302214
2022-07-29 14:36:03,179 - DEBUG - child pid = 61026, epoch = 0, loss = 0.72979552
2022-07-29 14:36:03,182 - DEBUG - child pid = 61021, epoch = 0, loss = 0.37439924
2022-07-29 14:36:03,166 - DEBUG - child pid = 61005, epoch = 0, loss = 0.31874192
2022-07-29 14:36:03,183 - DEBUG - child pid = 61012, epoch = 0, loss = 0.62979519
2022-07-29 14:36:03,183 - DEBUG - child pid = 61020, epoch = 0, loss = 0.55854028
2022-07-29 14:36:03,171 - DEBUG - child pid = 61027, epoch = 0, loss = 0.15234369
2022-07-29 14:36:03,182 - DEBUG - child pid = 61025, epoch = 0, loss = 0.41632029
2022-07-29 14:36:03,182 - DEBUG - child pid = 61024, epoch = 0, loss = 0.51198977
2022-07-29 14:36:03,172 - DEBUG - child pid = 61010, epoch = 0, loss = 0.18545060
